***Note: Everything is checked on the server.  Changing this file will just screw up your gui.
Cloth #1|0|||||
	base/data/shapes/player/cloth.dts|||	//shapename|dyemesh name|dyevalue|
	shirt1 0
	wood1 4
	
	
	no material mappings
	----Component Requirements: Quantity Name DataBlock mat1 mat2 mat3 mat4
	10|Fiber|FiberItem|*|*|*|*|
	1|Orange Dye|DyeItem|*|*|*|*|
	1|Black Dye|DyeItem|*|*|*|*|
	0|*|*|*|*|*|*|
	----ResultDB: ClothItem 5
Cloth #2|0|||||
	base/data/shapes/player/cloth.dts|||
	shirt1 1
	wood1 4
	
	
	no material mappings
	----Component Requirements: Quantity Name DataBlock mat1 mat2 mat3 mat4
	10|Fiber|FiberItem|*|*|*|*|
	1|Green Dye|DyeItem|*|*|*|*|
	0|*|*|*|*|*|*|
	0|*|*|*|*|*|*|
	----ResultDB: ClothItem 5
Cloth #3|0|||||
	base/data/shapes/player/cloth.dts|||
	shirt1 2
	wood1 4
	
	
	no material mappings
	----Component Requirements: Quantity Name DataBlock mat1 mat2 mat3 mat4
	10|Fiber|FiberItem|*|*|*|*|
	1|Purple Dye|DyeItem|*|*|*|*|
	0|*|*|*|*|*|*|
	0|*|*|*|*|*|*|
	----ResultDB: ClothItem 5
Cloth #4|0|||||
	base/data/shapes/player/cloth.dts|||
	shirt1 3
	wood1 4
	
	
	no material mappings
	----Component Requirements: Quantity Name DataBlock mat1 mat2 mat3 mat4
	10|Fiber|FiberItem|*|*|*|*|
	1|Blue Dye|DyeItem|*|*|*|*|
	1|Yellow Dye|DyeItem|*|*|*|*|
	0|*|*|*|*|*|*|
	----ResultDB: ClothItem 5
Cloth #5|0|||||
	base/data/shapes/player/cloth.dts|||
	shirt1 4
	wood1 4
	
	
	no material mappings
	----Component Requirements: Quantity Name DataBlock mat1 mat2 mat3 mat4
	10|Fiber|FiberItem|*|*|*|*|
	1|Blue Dye|DyeItem|*|*|*|*|
	1|Black Dye|DyeItem|*|*|*|*|
	0|*|*|*|*|*|*|
	----ResultDB: ClothItem 5
Cloth #6|0|||||
	base/data/shapes/player/cloth.dts|||
	shirt1 5
	wood1 4
	
	
	no material mappings
	----Component Requirements: Quantity Name DataBlock mat1 mat2 mat3 mat4
	10|Fiber|FiberItem|*|*|*|*|
	1|Ocre Dye|DyeItem|*|*|*|*|
	0|*|*|*|*|*|*|
	0|*|*|*|*|*|*|
	----ResultDB: ClothItem 5
Cloth #7|0|||||
	base/data/shapes/player/cloth.dts|||
	shirt1 6
	wood1 4
	
	
	no material mappings
